id,symbol,state_id
885,HCG,1000
886,HCL-INSYS,1000
887,HDFCAMC,1000
888,HDFCLIFE,1000
892,HEG,1000
893,HEIDELBERG,1000
894,HERCULES,1000
895,HERITGFOOD,1000
896,HESTERBIO,1000
897,HFCL,1000
898,HGINFRA,1000
899,HGS,1000
900,HIGHGROUND,1000
901,HIKAL,1000
902,HIL,1000
903,HIMATSEIDE,1000
904,HINDCOMPOS,1000
905,HINDCON,1000
906,HINDCOPPER,1000
907,HINDMOTORS,1000
908,HINDOILEXP,1000
909,HINDUJAVEN,1000
910,HIRECT,1000
911,HITECH,1000
912,HITECHCORP,1000
913,HITECHGEAR,1000
914,HMVL,1000
916,HONAUT,1000
917,HONDAPOWER,1000
918,HOTELEELA,1000
919,HOVS,1000
920,HPL,1000
921,HSCL,1000
922,HSIL,1000
923,HTMEDIA,1000
924,HUBTOWN,1000
925,HUDCO,1000
926,HUSYSLTD,1000
927,ICEMAKE,1000
930,ICICIGI,1000
940,ICIL,1000
941,ICRA,1000
944,IEX,1000
945,IFBAGRO,1000
946,IFBIND,1000
947,IFGLEXPOR,1000
948,IGARASHI,1000
949,IGPL,1000
950,IIFL,1000
951,IMFA,1000
952,IMPAL,1000
953,INDHOTEL,1000
954,INDIANCARD,1000
955,INDIANHUME,1000
956,INDIGRID,1000
957,INDINFR,1000
958,INDLMETER,1000
959,INDNIPPON,1000
960,INDOCO,1000
961,INDORAMA,1000
962,INDOSTAR,1000
963,INDOTECH,1000
964,INDOTHAI,1000
965,INDRAMEDCO,1000
966,INDTERRAIN,1000
967,INEOSSTYRO,1000
968,INFINITE,1000
969,INFOBEAN,1000
971,INGERRAND,1000
972,INNOVATIVE,1000
973,INOXLEISUR,1000
974,INOXWIND,1000
975,INSECTICID,1000
976,INTELLECT,1000
977,INVENTURE,1000
978,IOB,1000
979,IPAPPM,1000
980,IPCALAB,1000
981,IRBINVIT,1000
982,IRCON,1000
983,ISEC,1000
984,ITDC,1000
985,ITDCEM,1000
986,ITI,1000
987,IVP,1000
988,IVZINGOLD,1000
989,IVZINNIFTY,1000
990,IZMO,1000
991,JAGRAN,1000
992,JAGSNPHARM,1000
993,JAICORPLTD,1000
994,JAKHARIA,1000
995,JAMNAAUTO,1000
996,JASH,1000
997,JAYAGROGN,1000
998,JAYBARMARU,1000
999,JAYSREETEA,1000
1000,JBCHEPHARM,1000
1001,JBMA,1000
1002,JCHAC,1000
1003,JHS,1000
1004,JINDALPHOT,1000
1005,JINDALPOLY,1000
1006,JINDALSAW,1000
1007,JINDRILL,1000
1008,JISLDVREQS,1000
1009,J&KBANK,1000
1010,JKCEMENT,1000
1011,JKLAKSHMI,1000
1012,JKPAPER,1000
1013,JKTYRE,1000
1014,JMA,1000
1015,JMCPROJECT,1000
1016,JMFINANCIL,1000
1017,JOCIL,1000
1018,JPOLYINVST,1000
1019,JSL,1000
1020,JSLHISAR,1000
1021,JSWENERGY,1000
1022,JSWHL,1000
1023,JTEKTINDIA,1000
1024,JUBILANT,1000
1026,JYOTHYLAB,1000
1027,KABRAEXTRU,1000
1028,KAKATCEM,1000
1029,KALPATPOWR,1000
1030,KAMATHOTEL,1000
1031,KAMDHENU,1000
1032,KANANIIND,1000
1033,KANORICHEM,1000
1034,KANSAINER,1000
1035,KAPSTON,1000
1036,KARDA,1000
1037,KARURVYSYA,1000
1038,KAVVERITEL,1000
1039,KAWIRES,1000
1040,KAYA,1000
1041,KCP,1000
1042,KCPSUGIND,1000
1043,KEC,1000
1044,KECL,1000
1045,KEI,1000
1046,KELLTONTEC,1000
1047,KESORAMIND,1000
1048,KHADIM,1000
1049,KHAITANLTD,1000
1050,KICL,1000
1051,KILITCH,1000
1052,KIOCL,1000
1053,KIRLOSBROS,1000
1054,KIRLOSENG,1000
1055,KIRLOSIND,1000
1056,KITEX,1000
1057,KKCL,1000
1058,KNRCON,1000
1059,KOHINOOR,1000
1060,KOKUYOCMLN,1000
1061,KOLTEPATIL,1000
1062,KOPRAN,1000
1068,KOTHARIPET,1000
1069,KOTHARIPRO,1000
1070,KPRMILL,1000
1071,KRBL,1000
1072,KRIDHANINF,1000
1073,KRISHANA,1000
1074,KSBPUMPS,1000
1075,KSL,1000
1076,KTIL,1000
1077,LAKSHVILAS,1000
1078,LALPATHLAB,1000
1079,LAMBODHARA,1000
1080,LAOPALA,1000
1081,LATTEYS,1000
1082,LAURUSLABS,1000
1083,LAXMICOT,1000
1084,LAXMIMACH,1000
1085,LEEL,1000
1086,LEMONTREE,1000
1087,LGBBROSLTD,1000
1088,LIBERTSHOE,1000
1090,LICNETFN50,1000
1093,LINCOLN,1000
1094,LINCPEN,1000
1095,LINDEINDIA,1000
1097,LOKESHMACH,1000
1098,LOTUSEYE,1000
1099,LOVABLE,1000
1100,LTI,1000
1101,LTTS,1000
1102,LUMAXIND,1000
1103,LUMAXTECH,1000
1104,LUXIND,1000
1105,LYKALABS,1000
1106,LYPSAGEMS,1000
1109,MAANALU,1000
1110,MACPOWER,1000
1111,MADHAV,1000
1112,MADRASFERT,1000
1113,MAGMA,1000
1114,MAHABANK,1000
1115,MAHASTEEL,1000
1116,MAHESHWARI,1000
1117,MAHICKRA,1000
1118,MAHINDCIE,1000
1119,MAHLIFE,1000
1120,MAHLOG,1000
1121,MAHSCOOTER,1000
1122,MAHSEAMLES,1000
1123,MAITHANALL,1000
1124,MAJESCO,1000
1125,MANAKALUCO,1000
1126,MANAKSIA,1000
1127,MANAKSTEEL,1000
1128,MANALIPETC,1000
1129,MANGCHEFER,1000
1130,MANGLMCEM,1000
1131,MANGTIMBER,1000
1132,MANINDS,1000
1133,MANINFRA,1000
1134,MARALOVER,1000
1135,MARATHON,1000
1136,MARKSANS,1000
1137,MARSHALL,1000
1138,MASFIN,1000
1139,MASTEK,1000
1140,MATRIMONY,1000
1141,MAXINDIA,1000
1142,MAXVIL,1000
1143,MAYURUNIQ,1000
1144,MAZDA,1000
1145,MBAPL,1000
1146,MCDHOLDING,1000
